$ buildtest testconfigs list
Test Configuration Name                                                                              | Description                   
----------------------------------------------------------------------------------------------------------------------------------------------------------------
tutorial/cuda/saxpy.c.yml                                                                            | SAXPY example in CUDA         
tutorial/openmp/clang_hello.c.yml                                                                    | OpenMP Hello World example in C with clang compiler
tutorial/openmp/omp_hello.c.yml                                                                      | OpenMP Hello World example in C
tutorial/openmp/lmod_collection_example.yml                                                          | OpenMP Hello World example in C with clang compiler
tutorial/mpi/hello.c.yml                                                                             | MPI Hello World program.      
tutorial/compilers/module_key_example.yml                                                            | Hello World Fortran example using GNU compiler
tutorial/compilers/hello.f.yml                                                                       | Hello World Fortran example using Intel compiler
tutorial/compilers/args.c.yml                                                                        | C program that prints arguments passed to executable.
tutorial/openacc/vecAdd.c.yml                                                                        | OpenACC Vector Addition example using GNU compiler
tutorial/openacc/vecAdd.c_pgi.yml                                                                    | OpenACC Vector Addition example using GNU compiler
benchmark/stream/stream.c.yml                                                                        | Running STREAM synthetic benchmark to measure sustainable memory bandwidth
