$ buildtest module --diff-trees /mxg-hpc/users/ssi29/spack/modules/linux-rhel7-x86_64/Core,/usr/share/lmod/lmod/modulefiles/Core
			 Comparing Module Trees for differences in module files
			 -------------------------------------------------------
Module Tree 1:  /mxg-hpc/users/ssi29/spack/modules/linux-rhel7-x86_64/Core
Module Tree 2:  /usr/share/lmod/lmod/modulefiles/Core
ID       |     Module                                                   |   Module Tree 1    |   Module Tree 2
---------|--------------------------------------------------------------|--------------------|----------------------
1        | libxml2/2.9.9-azmlgc5                                        | FOUND              | NOT FOUND
2        | libiconv/1.16-xcmzb6a                                        | FOUND              | NOT FOUND
3        | tar/1.32-gem5z6s                                             | FOUND              | NOT FOUND
4        | readline/8.0-bp7xnfp                                         | FOUND              | NOT FOUND
5        | zlib/1.2.11-zolwez4                                          | FOUND              | NOT FOUND
6        | util-macros/1.19.1-s4xjvop                                   | FOUND              | NOT FOUND
7        | gdbm/1.18.1-r4vohzu                                          | FOUND              | NOT FOUND
8        | libpciaccess/0.13.5-cavw42z                                  | FOUND              | NOT FOUND
9        | pkgconf/1.6.3-oqak6dh                                        | FOUND              | NOT FOUND
10       | Core/lmod                                                    | NOT FOUND          | FOUND
11       | ncurses/6.1-3jjw2re                                          | FOUND              | NOT FOUND
12       | bzip2/1.0.8-etzfbao                                          | FOUND              | NOT FOUND
13       | xz/5.2.4-lvajsnj                                             | FOUND              | NOT FOUND
14       | libsigsegv/2.12-oywfhvk                                      | FOUND              | NOT FOUND
15       | gettext/0.20.1-c4ovdd2                                       | FOUND              | NOT FOUND
16       | diffutils/3.7-jthvt3v                                        | FOUND              | NOT FOUND
17       | libtool/2.4.6-swiq7rt                                        | FOUND              | NOT FOUND
18       | m4/1.4.18-dipchcn                                            | FOUND              | NOT FOUND
19       | Core/settarg                                                 | NOT FOUND          | FOUND
