software,modulefile
Autoconf,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Autoconf/2.69-GCCcore-6.4.0.lua
Automake,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Automake/1.15.1-GCCcore-6.4.0.lua
Autotools,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Autotools/20170619-GCCcore-6.4.0.lua
BEDTools,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/BEDTools/2.27.1-intel-2018a.lua
BWA,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/BWA/0.7.17-intel-2018a.lua
BamTools,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/BamTools/2.5.1-intel-2018a.lua
Bison,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Bison/3.0.4-GCCcore-6.4.0.lua
Bison,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Bison/3.0.4.lua
Boost,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Boost/1.65.1-intel-2018a-Python-2.7.14.lua
Bowtie2,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Bowtie2/2.3.4-intel-2018a.lua
CMake,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/CMake/3.9.1-GCCcore-6.4.0.lua
CMake,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/CMake/3.9.5-GCCcore-6.4.0.lua
CP2K,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/CP2K/5.1-intel-2018a.lua
Doxygen,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Doxygen/1.8.13-GCCcore-6.4.0.lua
FFTW,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/FFTW/3.3.6-intel-2018a.lua
FFTW,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/FFTW/3.3.7-gompi-2018a.lua
FFTW,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/FFTW/3.3.7-intel-2018a.lua
FLTK,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/FLTK/1.3.4-intel-2018a.lua
GCC,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/GCC/6.4.0-2.28.lua
GCCcore,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/GCCcore/6.4.0.lua
GDAL,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/GDAL/2.2.2-intel-2018a-Python-2.7.14.lua
GEOS,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/GEOS/3.6.2-intel-2018a-Python-2.7.14.lua
GLPK,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/GLPK/4.61-intel-2018a.lua
GLib,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/GLib/2.53.5-GCCcore-6.4.0.lua
GMP,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/GMP/6.1.2-GCCcore-6.4.0.lua
GROMACS,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/GROMACS/2016.5-intel-2018a.lua
GSL,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/GSL/2.4-GCCcore-6.4.0.lua
Guile,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Guile/1.8.8-GCCcore-6.4.0.lua
HDF5,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/HDF5/1.10.1-intel-2018a.lua
HMMER,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/HMMER/3.1b2-intel-2018a.lua
JAGS,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/JAGS/4.3.0-intel-2018a.lua
JasPer,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/JasPer/2.0.14-GCCcore-6.4.0.lua
LAMMPS,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/LAMMPS/16Mar18-intel-2018a.lua
LLVM,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/LLVM/5.0.1-GCCcore-6.4.0.lua
LibTIFF,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/LibTIFF/4.0.8-intel-2018a.lua
Libint,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Libint/1.1.6-intel-2018a.lua
M4,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/M4/1.4.17.lua
M4,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/M4/1.4.18-GCCcore-6.4.0.lua
M4,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/M4/1.4.18.lua
Mako,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Mako/1.0.7-intel-2018a-Python-2.7.14.lua
Mesa,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Mesa/17.2.4-intel-2018a.lua
NAMD,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/NAMD/2.12-intel-2018a-mpi.lua
NASM,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/NASM/2.13.01-GCCcore-6.4.0.lua
NLopt,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/NLopt/2.4.2-intel-2018a.lua
NWChem,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/NWChem/6.8.revision47-intel-2018a-2017-12-14-Python-2.7.14.lua
OpenBLAS,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/OpenBLAS/0.2.20-GCC-6.4.0-2.28.lua
OpenMPI,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/OpenMPI/3.0.0-GCC-6.4.0-2.28.lua
PCRE,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/PCRE/8.41-GCCcore-6.4.0.lua
PEAR,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/PEAR/0.9.8-intel-2018a.lua
PLUMED,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/PLUMED/2.4.0-intel-2018a.lua
PROJ,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/PROJ/4.9.3-intel-2018a.lua
Perl,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Perl/5.26.0-GCCcore-6.4.0.lua
Python,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Python/2.7.14-GCCcore-6.4.0-bare.lua
Python,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Python/2.7.14-GCCcore-6.4.0.lua
Python,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/Python/2.7.14-intel-2018a.lua
R,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/R/3.4.3-intel-2018a-X11-20171023.lua
RELION,/clust/app/easybuild/2018/IvyBridge/redhat/7.3/modules/all/RELION/2.1-intel-2018a.lua
